ts_ms,entropy,corr_h,corr_v,lap_var
1755187761927,5.1573,0.9996,0.9997,0.65
1755187761932,5.1573,0.9996,0.9997,0.65
1755187762370,5.1748,0.9996,0.9997,0.62
1755187762375,5.1748,0.9996,0.9997,0.62
1755187762897,5.1578,0.9996,0.9997,0.65
1755187762902,5.1578,0.9996,0.9997,0.65
1755187763285,5.1330,0.9996,0.9997,0.63
1755187763289,5.1330,0.9996,0.9997,0.63
1755187763724,5.1361,0.9996,0.9997,0.62
1755187763729,5.1361,0.9996,0.9997,0.62
1755187764229,5.1220,0.9996,0.9997,0.60
1755187764235,5.1220,0.9996,0.9997,0.60
1755187764638,5.1024,0.9996,0.9997,0.60
1755187764644,5.1024,0.9996,0.9997,0.60
1755187765092,5.1317,0.9996,0.9997,0.61
1755187765096,5.1317,0.9996,0.9997,0.61
